qn1k,qn1a,numppl,qn1b,qn1c,qn1d,qn1f,qn1g,qn1h,qn1i,qn1jyear,qn1l,qn2a,qn2b,qn3a,qn3b,qn4a,qn4b,qn4c,qn4e,qn4j,qn20,qn24a,qn24b,qn25a,qn25b,qn25c,qn25d,qn28a,qn28b,cohort,ui_agect_arrival,ui_school,ui_emprate
2,1,5,1,1,998,1,97,97,97,2015,2, , , , , , , , , , , , , , , , , , ,3,999, , 
2,2,5,5,4,27,1,97,97,97,2015, ,11,5,5,8,4,3,1,2,2,1,1, ,2,1, , ,1,1,3,3, ,1
2,3,5,4,4,22,2,97,97,97,2015,2,11,5,6,8,4,4,1,2,1,1,1, ,1, , , ,1,1,3,2,0,1
2,4,5,4,4,10,1,97,97,97,2015,2, , , , , , , , , , , , , , , , , , ,3,1, , 
2,5,5,2,1,48,2,97,97,97,2015,2,7,1,5,6,4,4,1,2,1,1,1, ,1, , , ,1,1,3,4,0,1
2,1,4,1,1,26,1,2,96,98,2011,1, , , , , , , , , , , , , , , , , , ,1,2, , 
2,3,4,5,4,3,2,24,96,98,2013,1, , , , , , , , , , , , , , , , , , ,1,0, , 
2,4,4,5,4,1,1,24,24,98,2015,1, , , , , , , , , , , , , , , , , , ,1,0, , 
2,1,3,1,4,29,1,97,97,97,2012, ,12,5,5,3,4,1,1,2,1,1,2,1,1, , , ,1,1,2,2,0,1
2,2,3,3,4,35,2,24,24,97, ,1, , , , , , , , , , , , , , , , , , ,2,3, , 
2,3,3,6,4,25,1,97,97,97,2012,2,12,5,6,96,4,1,2,2,1,1,1, ,2,2,3,1,1,1,2,2,3,1
2,1,3,1,4,34,1,10,10,1,2012,2,11,2,4,7,3,2,1,2,1,1,1, ,1, , , ,1,1,2,3,0,1
2,2,3,15,4,23,1,10,24,1, ,1, , , , , , , , , , , , , , , , , , ,2,2, , 
2,3,3,15,4,27,1,10,10,1, , ,99,98,98,98,2,1,8,1, ,3,8, ,2,2,1,2,2,1,2,3,1,2
2,1,2,1,1,75,1,5,5,97,2013, ,8,97,2,11,4,3,2,1, , ,1, ,1, , , ,2,2,2,5,0,3
2,2,2,2,1,74,2,5,5,97,2013,2,11,2,2,4,4,4,1,1, , ,1, ,1, , , ,2,2,2,5,0,3
2,1,5,1,1,43,1,2,97,97,2011, ,1,1,5,97,4,4,1,1, ,2,1, ,1, , , ,1,1,1,3,0,3
2,2,5,2,1,38,2,2,98,97,2011,2,0,1,1, ,4,4,1,1, , ,1, ,1, , , ,2,1,1,3,0,3
2,3,5,4,4,18,2,14,24,97,2011,2,7,2,6,13,3,2,2,2,1, ,1, ,2,2,1,1,1,1,1,1,1,3
2,4,5,4,4,17,1,14,24,97,2011,2,5,2,6,13,4,2,1,1, , ,1, ,2,2,1,1,1,1,1,1,1,3
2,5,5,4,4,12,1,14,24,97,2011,2, , , , , , , , , , , , , , , , , , ,1,1, , 
2,1,4,1,1,48,1,5,5,97,2013, ,9,5,5,3,4,3,1,1, ,1,2,12,1, , , ,1,1,2,4,0,1
2,2,4,2,1,39,2,5,5,97,2013,2,9,5,1, ,3,2,2,1, ,3,1, ,1, , , ,1,1,2,3,0,1
2,3,4,4,4,8,1,5,5,97,2013,2, , , , , , , , , , , , , , , , , , ,2,1, , 
2,4,4,10,2,66,2,5,5,97,2013,2,11,5,1, ,4,4,1,1, , ,1, ,1, , , ,2,2,2,5,0,3
2,1,3,1,3,29,2,2,96,97,2015, ,5,1,1, ,3,3,2,1, ,1,1, ,1, , , ,1,1,3,3,0,1
2,2,3,5,4,12,1,14,96,97,2015,2, , , , , , , , , , , , , , , , , , ,3,1, , 
2,3,3,5,4,7,2,14,96,97,2015,2, , , , , , , , , , , , , , , , , , ,3,1, , 
2,1,1,1,3,33,1,10,10,1,2013, ,20,6,4,2,2,1,2,6, ,1,1, ,2,2,7,1,1,1,2,3,7,1
2,1,5,1,1,49,2,2,96,97,2013,2,2,2,1, ,3,3,2,1, , ,1, ,1, , , ,2,2,2,4,0,3
2,2,5,4,1,25,1,2,96,97,2013, ,12,5,8,5,2,2,1,1, ,1,1, ,1, , , ,1,1,2,2,0,1
2,3,5,4,1,31,1,2,96,97,2013,2,3,2,1, ,4,4,1,1, , ,1, ,1, , , ,1,1,2,3,0,3
2,4,5,9,1,30,2,2,96,40,2013,2,3,2,1, ,4,4,1,1, , ,1, ,1, , , ,1,1,2,3,0,3
2,5,5,8,4,3,1,14,96,40,2013,2, , , , , , , , , , , , , , , , , , ,2,0, , 
2,1,5,1,1,998,1,2,2,38,2012,2, , , , , , , , , , , , , , , , , , ,1,999, , 
2,2,5,5,1,34,2,2,96,38,2012, ,11,5,4,5,2,2,2,1, , ,1, ,1, , , ,1,2,1,3,0,3
2,3,5,2,1,998,2,97,98,98,2012,2, , , , , , , , , , , , , , , , , , ,1,999, , 
2,4,5,4,1,998,1,2,96,38,2012,2, , , , , , , , , , , , , , , , , , ,1,999, , 
2,1,3,1,1,42,1,2,24,97,2011, ,17,6,2,5,1,1,2,1, ,1,2,98,1, , , ,1,1,1,3,0,1
2,2,3,2,1,43,2,2,99,97,2011,2,6,2,1, ,3,2,2,1, ,1,2,98,1, , , ,1,1,1,3,0,1
2,3,3,4,4,20,1,14,99,97,2011,2,10,2,6,13,2,1,2,1, , ,1, ,2,2,2,1,1,1,1,1,2,3
2,2,5,2,1,29,2,2,2,97,2012, ,12,5,1, ,3,2,2,1, , ,1, ,1, , , ,1,1,1,2,0,3
2,1,5,1,1,72,1,5,5,97,2012, ,1,1,2,11,4,4,1,1, , ,1, ,1, , , ,2,1,2,5,0,3
2,2,5,2,1,64,2,5,5,97,2012,2,6,2,2,9,4,4,1,1, , ,1, ,1, , , ,2,1,2,5,0,3
2,3,5,4,3,40,2,5,5,97,2012,2,9,5,1, ,4,4,1,1, ,98,1, ,1, , , ,2,2,2,3,0,3
2,4,5,8,4,18,2,5,5,97,2012,2,9,5,6,96,4,3,1,1, ,98,1, ,1, , , ,1,1,2,1,0,2
2,5,5,8,4,14,1,5,5,97,2012,2, , , , , , , , , , , , , , , , , , ,2,1, , 
2,1,4,1,1,43,1,5,5,10,2014, ,9,4,5,11,4,3,2,1, ,1,1, ,1, , , ,1,1,2,4,0,1
2,2,4,2,1,42,2,5,5,10,2014,2,9,6,1, ,4,4,2,1, ,98,1, ,1, , , ,1,1,2,3,0,3
2,3,4,4,4,9,2,5,5,10,2014,2, , , , , , , , , , , , , , , , , , ,2,1, , 
2,4,4,4,4,17,2,5,5,10,2014,2,7,2,6,96,4,2,2,2,2, ,1, ,2,2,1,1,1,1,2,1,1,2
2,1,5,1,3,39,1,5,5,97,2014, ,12,6,1, ,3,2,1,1, ,1,1, ,1, , , ,1,1,2,3,0,1
2,2,5,4,4,16,2,5,5,97,2014,2,8,5,6,96,4,2,2,2,1, ,1, ,2,2,1,1,1,1,2,1,1,3
2,3,5,4,4,5,1,5,5,97,2014,2, , , , , , , , , , , , , , , , , , ,2,1, , 
2,4,5,8,4,0,1,24,24,97, ,1, , , , , , , , , , , , , , , , , , ,2,0, , 
2,1,5,1,1,39,1,10,10,1,2015, ,18,6,4,9,1,1,1,1, , ,1, ,1, , , ,1,1,3,3,0,2
2,2,5,2,1,38,2,10,10,1,2015,2,17,6,1, ,2,2,2,2,1, ,1, ,1, , , ,2,2,3,3,0,2
2,3,5,4,4,13,1,10,10,1,2015,2, , , , , , , , , , , , , , , , , , ,3,1, , 
2,5,5,4,4,3,2,97,10,1,2015,2, , , , , , , , , , , , , , , , , , ,3,1, , 
2,3,3,4,4,3,1,24,96,97, ,1, , , , , , , , , , , , , , , , , , ,1,1, , 
2,1,4,1,1,34,2,5,5,97,2013, ,12,5,5,6,4,3,1,1, ,1,2,48,2,2,3,2,1,1,2,3,3,1
2,2,4,2,1,42,1,5,5,97,2012,1, , , , , , , , , , , , , , , , , , ,2,3, , 
2,3,4,4,4,12,2,5,5,97,2013,2, , , , , , , , , , , , , , , , , , ,2,1, , 
2,4,4,4,4,18,1,5,5,97,2013,2,8,5,6,13,3,1,2,1, , ,1, ,2,2,1,1,1,1,2,1,1,3
2,1,3,1,1,54,1,10,10,1,2013,2,13,5,4,8,2,1,2,1, ,4,1, ,1, , , ,2,2,2,4,0,3
2,2,3,2,1,46,2,10,10,1,2013, ,13,5,1, ,3,2,2,2,2,98,1, ,1, , , ,2,2,2,4,0,3
2,3,3,4,4,22,2,10,10,1,2013,2,13,5,6,13,2,1,2,1, ,4,1, ,2,2,8,1,1,1,2,2,999,3
2,1,4,1,1,33,1,2,96,97,2012, ,5,2,1, ,4,2,1,1, ,98,1, ,1, , , ,1,1,1,3,0,1
2,2,4,2,1,28,2,2,96,97,2012,2,7,2,1, ,4,2,1,1, ,98,1, ,1, , , ,1,1,1,2,0,3
2,3,4,4,4,2,1,24,96,97, ,2, , , , , , , , , , , , , , , , , , ,1,1, , 
2,4,4,4,4,15,1,14,96,97,2012,2, , , , , , , , , , , , , , , , , , ,1,1, , 
2,1,2,1,1,46,2,5,5,97,2014, ,98,4,8,8,4,4,1,1, ,98,1, ,1, , , ,1,1,3,4,0,1
2,2,2,2,1,55,2,5,5,97,2014,2,6,2,1, ,4,4,1,1, ,1,1, ,1, , , ,1,1,3,4,0,1
2,1,2,1,4,43,1,2,96,40,2012, ,7,2,4,9,2,1,1,1, ,1,1, ,1, , , ,1,1,1,3,0,1
2,2,2,11,4,42,1,2,96,40,2012,2,12,5,8,5,2,1,1,1, ,1,1, ,1, , , ,1,1,1,3,0,1
2,1,2,1,2,57,2,5,5,10,2015, ,12,4,1, ,4,3,1,2,1,1,2,4,1, , , ,1,1,3,5,0,1
2,2,2,4,4,15,1,5,5,10,2015,2, , , , , , , , , , , , , , , , , , ,3,1, , 
2,1,5,1,1,58,1,14,99,97,2012, ,0,1,1, ,4,4,1,2,1, ,1, ,1, , , ,2,2,1,4,0,3
2,2,5,4,4,30,2,2,99,97,2012,2,0,1,99,99,4,9,9,9,1, ,9, ,9, , , ,2,2,1,3,999,3
2,3,5,4,1,28,1,2,99,97,2012,2,12,5,6,99,2,2,2,1, ,98,1, ,1, , , ,2,2,1,2,0,1
2,4,5,4,4,20,1,14,99,97,2012,2,0,1,1, ,9,9,9,9,9, ,9, ,9, , , ,9,9,1,1,999,999
2,5,5,2,1,52,2,14,99,97,2012,2,0,1,1, ,4,3,1,1, , ,9, ,9, , , ,2,2,1,4,999,3
2,2,2,2,1,27,2,10,10,1,2013,2,16,6,4,2,2,1,1,1, ,1,1, ,1, , , ,1,1,2,2,0,1
2,1,5,1,1,36,1,2,96,38,2012, ,12,5,8,5,2,2,1,1, ,1,2,4,1, , , ,1,1,1,3,0,1
2,2,5,5,1,66,1,2,96,38,2012,2,0,1,1, ,4,3,1,1, ,1,1, ,1, , , ,2,2,1,5,0,3
2,3,5,5,1,59,2,2,96,38,2012,2,0,1,1, ,4,3,1,1, ,1,1, ,1, , , ,1,1,1,4,0,3
2,4,5,2,1,33,2,2,96,38,2012,2,12,5,8,5,2,2,1,1, ,1,1, ,1, , , ,1,1,1,3,0,1
2,5,5,4,4,5,1,14,96,38,2012,2, , , , , , , , , , , , , , , , , , ,1,0, , 
2,1,4,1,2,40,2,5,24,10,2011,1, , , , , , , , , , , , , , , , , , ,2,1, , 
2,2,4,11,1,48,1,5,5,97,2013, ,12,4,5,7,4,3,2,2,2,1,1, ,1, , , ,2,1,2,4,0,2
2,3,4,11,1,47,2,5,5,97,2013,2,9,5,1, ,4,4,2,1, ,1,1, ,1, , , ,1,1,2,4,0,1
2,4,4,11,4,23,1,5,5,97,2013,2,12,4,2,7,4,1,1,1, ,1,1, ,1, , , ,1,1,2,2,0,1
2,1,3,1,4,55,1,5,5,97,2014, ,10,1,5,11,4,4,1,1, ,1,1, ,1, , , ,1,1,2,4,0,1
2,2,3,4,4,29,2,5,5,97,2014,2,9,1,6,96,4,4,1,1, , ,1, ,1, , , ,2,2,2,3,0,3
2,3,3,8,4,7,1,5,5,97,2014,2, , , , , , , , , , , , , , , , , , ,2,1, , 
2,1,4,1,1,36,1,5,5,10,2014, ,12,5,5,7,4,4,1,1, ,98,1, ,1, , , ,1,1,2,3,0,1
2,2,4,2,1,36,2,5,5,10,2014,2,12,6,2,2,1,1,2,1, ,1,2,2,1, , , ,1,1,2,3,0,1
2,3,4,4,1,18,2,5,5,10,2014,2,11,5,6,96,4,4,1,2,1, ,1, ,2,2,1,2,1,1,2,1,1,3
2,1,2,1,1,36,1,3,3,97,2012, ,10,5,4,97,3,3,2,1, ,98,1, ,1, , , ,1,1,1,3,0,1
2,2,2,2,1,39,2,3,3,97,2013,2,8,5,98,98,4,4,2,1, ,1,1, ,1, , , ,1,1,1,3,0,3
2,1,3,1,1,45,1,5,5,10,2013, ,12,5,4,6,4,3,2,1, ,1,1, ,1, , , ,1,1,2,4,0,1
2,2,3,2,1,49,2,5,5,10,2013,2,12,4,1, ,4,4,2,1, ,1,1, ,1, , , ,1,1,2,4,0,1
2,3,3,4,4,20,1,5,5,10,2013,2,9,5,6,13,3,1,2,1, , ,1, ,1, , , ,1,1,2,1,0,3
2,1,2,1,1,26,1,2,96,97,2014,2,12,97,6,13,3,2,2,1, ,98,1, ,1, , , ,1,1,3,2,0,1
2,2,2,2,1,25,2,2,96,97,2014, ,12,5,6,13,3,2,1,1, ,1,1, ,1, , , ,1,1,3,2,0,1
2,1,5,1,1,37,1,10,10,1,2012, ,16,6,4,2,1,1,1,1, ,1,1, ,1, , , ,1,1,1,3,0,1
2,2,5,2,1,33,2,10,10,1,2012,2,16,6,1, ,3,3,1,2,1, ,1, ,1, , , ,1,1,1,3,0,3
2,3,5,4,4,9,1,10,10,1,2012,2, , , , , , , , , , , , , , , , , , ,1,1, , 
2,4,5,4,4,7,2,10,10,1,2012,2, , , , , , , , , , , , , , , , , , ,1,1, , 
2,1,4,1,1,41,1,2,96,38,2012, ,12,5,4,5,2,2,1,1, ,1,1, ,1, , , ,2,2,1,3,0,1
2,2,4,2,1,36,2,2,96,38,2012,2,12,5,1, ,2,2,1,1, ,1,1, ,1, , , ,1,1,1,3,0,1
2,3,4,4,4,13,2,14,96,38,2012,2, , , , , , , , , , , , , , , , , , ,1,1, , 
2,4,4,4,4,5,2,14,96,38,2012,2, , , , , , , , , , , , , , , , , , ,1,0, , 
2,1,5,1,4,22,1,10,10,8,2014, ,10,5,6,13,3,2,1,2,2,98,1, ,1, , , ,1,1,3,2,0,1
2,2,5,6,7,26,1,10,10,8,2014,2,98,4,4,8,3,2,8,8,1,1,1, ,1, , , ,1,1,3,2,0,1
2,3,5,6,1,33,1,10,10,8,2014,2,98,6,2,8,3,2,1,1, ,98,1, ,1, , , ,1,1,3,3,0,1
2,4,5,6,4,16,1,10,10,8,2014,2,98,2,6,13,2,1,1,6, , ,1, ,2,2,8,1,1,1,3,1,999,2
2,2,2,2,1,22,2,16,16,98, ,2,10,5,98,98,1,1,2,1, ,5,1, ,1, , , ,1,1,2,2,0,3
2,1,4,1,1,46,1,5,5,97,2013, ,9,5,4,97,4,3,1,1, ,1,1, ,1, , , ,1,1,2,4,0,1
2,2,4,2,1,39,2,5,5,97,2013,2,9,5,1, ,3,3,2,1, ,2,1, ,1, , , ,1,1,2,3,0,1
2,3,4,4,4,11,1,5,5,97,2013,2, , , , , , , , , , , , , , , , , , ,2,1, , 
2,4,4,4,4,18,1,5,5,97,2013,2,6,2,6,96,3,3,2,1, , ,1, ,2,2,1,1,1,1,2,1,1,2
2,1,3,1,1,75,1,2,96,38,2013,2,0,1,8,11,4,3,1,1, , ,1, ,1, , , ,2,2,2,5,0,3
2,2,3,2,1,64,2,2,96,38,2013,2,0,1,8,11,4,3,1,2,2, ,1, ,1, , , ,2,2,2,5,0,3
2,3,3,4,4,27,1,2,96,38,2013, ,15,6,6,5,2,2,1,1, ,1,1, ,1, , , ,1,1,2,2,0,1
2,1,3,1,1,69,1,10,10,1,2014, ,17,6,4,7,2,2,1,1, , ,1, ,1, , , ,1,1,3,5,0,3
2,2,3,2,1,65,2,10,10,1,2014,2,17,6,2,5,3,3,1,1, , ,1, ,1, , , ,1,1,3,5,0,3
2,1,5,1,1,47,1,5,5,97,2015, ,12,5,1, ,4,4,1,1, ,98,1, ,1, , , ,1,1,3,4,0,1
2,2,5,2,1,41,2,5,5,97,2015,2,12,5,1, ,4,4,1,1, ,1,1, ,1, , , ,1,1,3,3,0,2
2,3,5,4,4,22,2,5,5,97,2015,2,12,5,1, ,4,4,1,1, ,1,1, ,1, , , ,1,1,3,2,0,2
2,4,5,4,4,12,2,5,5,97,2015,2, , , , , , , , , , , , , , , , , , ,3,1, , 
2,5,5,11,4,4,2,5,5,97,2015,2, , , , , , , , , , , , , , , , , , ,3,1, , 
2,1,1,1,4,33,1,10,10,1,2014, ,12,5,6,13,3,2,1,2,2,98,1, ,1, , , ,1,1,2,3,0,2
2,1,1,1,1,36,1,10,10,1,2013, ,16,6,4,3,2,1,1,1, ,98,1, ,1, , , ,1,1,2,3,0,1
2,1,3,1,4,21,1,5,5,97, ,1, , , , , , , , , , , , , , , , , , ,1,2, , 
2,3,3,5,4,47,2,5,5,97, ,1, , , , , , , , , , , , , , , , , , ,1,4, , 
2,1,2,1,1,75,1,5,5,97,2013, ,7,1,5,8,4,4,1,1, , ,1, ,1, , , ,2,2,2,5,0,3
2,2,2,2,1,65,2,5,5,97,2013,2,7,6,1, ,4,4,1,2,2,98,1, ,1, , , ,1,1,2,5,0,1
2,1,2,1,1,36,1,10,10,1,2015, ,16,6,3,2,1,1,1,1, ,1,1, ,1, , , ,1,1,3,3,0,1
2,2,2,2,1,27,2,10,10,1,2015,2,16,6,4,4,2,1,1,1, ,1,1, ,1, , , ,1,1,3,3,0,1
2,1,4,1,2,46,2,10,97,1,2014, ,20,7,4,6,2,1,1,1, ,1,1, ,1, , , ,1,1,3,4,0,1
2,2,4,4,4,20,2,10,97,1,2015,1, , , , , , , , , , , , , , , , , , ,3,2, , 
2,3,4,4,4,13,1,10,97,1,2015,1, , , , , , , , , , , , , , , , , , ,3,1, , 
2,4,4,4,4,19,1,10,97,1,2015,1, , , , , , , , , , , , , , , , , , ,3,2, , 
2,2,3,2,1,24,2,14,96,38,2011,2,10,4,1, ,3,3,1,1, ,1,1, ,1, , , ,1,1,1,2,0,1
2,3,3,4,4,3,1,24,96,97, ,1, , , , , , , , , , , , , , , , , , ,1,1, , 
2,1,1,1,4,23,1,10,10,1,2015, ,14,5,6,13,1,1,1,1, ,1,1, ,2,2,3,1,1,1,3,2,3,1
2,2,2,2,1,31,2,9,9,97,2011, ,12,5,4,2,2,2,2,1, ,1,1, ,2,2,5,1,1,1,1,3,5,2
2,1,1,1,4,26,1,10,10,1,2014, ,14,5,5,2,3,2,2,1, ,98,1, ,1, , , ,1,1,2,2,0,1
2,1,4,1,1,27,1,3,3,20,2011,2,98,1,98,98,4,2,1,1, ,98,1, ,1, , , ,8,8,1,2,0,1
2,3,4,4,6,4,1,24,24,20,2012,1, , , , , , , , , , , , , , , , , , ,1,0, , 
2,4,4,4,6,2,2,24,24,20,2014,1, , , , , , , , , , , , , , , , , , ,1,0, , 
2,1,1,1,1,33,1,5,5,97,2012, ,10,5,5,11,4,4,1,1, ,1,1, ,1, , , ,1,1,2,3,0,1
2,2,3,2,1,25,2,2,96,97,2015, ,13,5,4,5,3,2,2,1, , ,1, ,1, , , ,1,1,3,2,0,3
2,3,3,5,4,0,1,24,24,97, ,1, , , , , , , , , , , , , , , , , , ,3,0, , 
2,1,2,1,1,61,1,5,5,10,2013, ,12,5,5,8,4,4,1,1, ,1,1, ,1, , , ,1,1,2,5,0,1
2,2,2,2,1,56,2,5,5,10,2013,2,12,4,1, ,4,4,1,1, ,1,1, ,1, , , ,1,1,2,4,0,1
2,1,2,1,1,60,1,5,5,10,2013, ,12,5,5,11,4,4,1,1, ,2,1, ,1, , , ,1,1,2,5,0,1
2,2,2,2,1,56,2,5,5,97,2013,2,12,5,2,10,4,3,1,2,1,98,2,3,2,2,6,1,1,1,2,4,6,2
2,1,4,1,1,35,1,3,24,97,2011, ,14,5,6,13,2,2,2,1, ,1,1, ,1, , , ,1,1,1,3,0,1
2,2,4,2,1,33,2,3,3,97,2012,2,15,6,6,13,2,2,1,1, , ,1, ,1, , , ,1,1,1,3,0,3
2,3,4,4,6,1,1,24,98,97, ,1, , , , , , , , , , , , , , , , , , ,1,1, , 
2,4,4,4,8,0,2,24,98,97, ,2, , , , , , , , , , , , , , , , , , ,1,0, , 
2,1,1,1,2,45,2,9,9,97,2013, ,12,5,1, ,3,2,1,2,1,1,1, ,1, , , ,2,1,2,4,0,3
2,1,1,1,3,57,1,5,5,97,2012, ,12,98,2,6,4,3,1,2,2, ,1, ,1, , , ,2,2,1,4,0,3
2,1,1,1,1,35,2,6,6,97,2012, ,98,1,1, ,4,3,1,2,2,1,2,98,1, , , ,1,1,1,3,0,1
2,1,4,1,4,36,1,10,10,1,2013,2,18,7,2,2,1,1,1,1, ,98,8, ,1, , , ,1,1,2,3,0,1
2,2,4,5,2,56,2,10,10,1,2014, ,14,5,1, ,2,2,1,1, , ,1, ,1, , , ,2,2,2,4,0,2
2,3,4,6,4,32,1,10,10,1,2014,2,15,5,2,4,2,2,2,1, ,98,1, ,8, , , ,1,1,2,3,999,1
2,4,4,11,4,18,2,10,10,1,2014,2,10,2,6,13,2,1,1,1, , ,1, ,2,2,1,1,1,1,2,1,1,2
2,1,4,1,1,33,1,3,24,97,2015, ,0,1,1, ,3,2,1,1, ,98,2,98,1, , , ,1,1,3,3,0,1
2,2,4,2,1,24,2,3,24,97,2015,2,0,1,1, ,3,3,1,2,2, ,1, ,1, , , ,1,1,3,2,0,3
2,3,4,2,1,24,1,97,24,97,2015,2,0,1,1, ,4,8,1,1, , ,1, ,1, , , ,8,8,3,2,0,3
2,4,4,4,7,4,2,97,24,97,2015,2, , , , , , , , , , , , , , , , , , ,3,1, , 
2,1,2,1,1,59,1,5,5,97,2014, ,12,4,5,7,4,4,1,1, ,1,1, ,1, , , ,1,1,2,5,0,1
2,2,2,2,1,53,2,5,5,97,2014,2,9,5,1, ,4,4,1,1, ,1,1, ,1, , , ,1,1,2,4,0,1
2,1,2,1,7,32,2,3,3,20,2012, ,4,1,4,8,4,3,1,2,1,1,1, ,1, , , ,1,1,1,3,0,1
2,2,2,4,4,0,2,24,24,20,2015,1, , , , , , , , , , , , , , , , , , ,1,0, , 
2,1,1,1,4,34,1,3,3,97,2014, ,8,5,4,9,3,2,1,2,1,1,2,3,1, , , ,1,1,3,3,0,1
2,1,1,1,4,37,1,3,24,97,2013, ,10,2,2,9,3,2,1,2,1,1,2,1,1, , , ,1,1,2,3,0,1
2,1,5,1,1,27,2,2,96,40,2011, ,10,5,6,13,2,2,2,1, , ,1, ,1, , , ,1,1,1,2,0,3
2,2,5,6,1,25,2,2,96,40,2011,2,10,5,6,13,2,2,2,1, , ,1, ,1, , , ,1,1,1,2,0,3
2,3,5,9,1,998,1,2,96,40,2011,1, , , , , , , , , , , , , , , , , , ,1,999, , 
2,4,5,2,1,25,1,14,96,40,2011,1, , , , , , , , , , , , , , , , , , ,1,2, , 
2,5,5,5,4,1,1,24,24,97, ,1, , , , , , , , , , , , , , , , , , ,1,1, , 
2,1,5,1,1,28,1,3,3,97,2014,2,9,2,4,9,2,1,2,1, ,1,1, ,1, , , ,1,1,2,3,0,1
2,2,5,2,1,25,2,3,3,97,2014, ,7,2,1, ,3,2,1,1, , ,1, ,1, , , ,1,1,2,2,0,3
2,3,5,10,1,56,1,3,3,97,2014,2,11,5,4,6,3,2,2,1, ,1,1, ,1, , , ,2,2,2,4,0,1
2,4,5,10,1,51,2,3,3,97,2014,2,11,5,1, ,3,2,1,1, , ,1, ,1, , , ,2,2,2,4,0,3
2,5,5,4,4,4,2,97,3,97,2014,2, , , , , , , , , , , , , , , , , , ,2,1, , 
2,1,1,1,4,41,1,3,24,97,2015, ,10,5,4,97,3,2,1,1, ,1,1, ,1, , , ,1,1,3,3,0,1
2,1,3,1,3,47,1,5,5,97,2013, ,12,5,5,9,4,3,1,1, ,1,2,1,1, , , ,1,1,2,4,0,1
2,2,3,11,3,38,2,5,5,97,2013,2,98,6,2,2,1,1,2,1, ,1,1, ,2,2,6,1,1,1,2,3,6,1
2,3,3,4,4,6,1,5,5,97,2013,2, , , , , , , , , , , , , , , , , , ,2,1, , 
2,1,2,1,1,35,1,3,3,20,2011, ,8,2,4,7,3,3,1,2,1,1,1, ,1, , , ,1,1,2,3,0,1
2,2,2,2,1,35,2,3,3,9,2011,2,10,5,4,8,2,2,2,1, ,98,1, ,1, , , ,1,1,2,3,0,3
2,1,1,1,4,26,2,6,6,97,2015, ,98,1,1, ,4,3,1,1, ,1,1, ,1, , , ,1,2,3,2,0,1
2,1,2,1,4,40,1,97,97,97,2015, ,13,4,5,6,3,3,1,2,1,5,1, ,1, , , ,1,1,3,3,0,1
2,2,2,3,4,40,2,97,97,97,2015,2,13,4,5,6,3,3,1,2,1,1,1, ,1, , , ,1,1,3,3,0,1
2,1,1,1,4,35,1,3,24,97,2013, ,10,5,4,9,4,3,1,1, ,1,2,98,1, , , ,1,1,2,3,0,1
2,1,3,1,4,43,1,5,5,97,2011, ,8,2,5,11,4,4,1,1, ,1,1, ,1, , , ,1,1,1,3,0,1
2,2,3,5,2,75,1,5,5,97,2011,2,98,98,1, ,4,4,1,1, , ,1, ,1, , , ,1,1,1,5,0,3
2,3,3,11,4,56,1,5,5,97,2012,2,98,98,98,98,4,4,1,1, ,98,1, ,1, , , ,1,1,1,4,0,2
2,1,2,1,1,37,1,3,3,97,2015, ,7,2,5,6,3,2,1,1, ,1,1, ,1, , , ,1,1,3,3,0,1
2,2,2,2,1,40,2,97,97,97,2015,2,4,2,4,6,4,3,1,1, , ,1, ,1, , , ,2,1,3,3,0,3
2,1,3,1,1,55,1,9,9,98,2011,2,12,5,5,3,3,2,2,1, ,98,1, ,1, , , ,1,1,3,4,0,999
2,2,3,11,4,21,1,9,9,98,2015, ,11,5,1, ,3,2,2,2,2,98,1, ,2,2,3,1,1,1,3,2,3,3
2,3,3,4,4,18,1,9,9,98,2011,2,7,1,1, ,3,2,2,2,2, ,1, ,2,2,3,2,1,1,3,1,3,3
2,1,5,1,1,37,1,2,96,97,2011,2,98,98,4,5,2,1,2,1, ,98,1, ,1, , , ,1,1,1,3,0,1
2,2,5,11,4,27,2,2,96,97,2012, ,18,97,6,13,3,2,2,1, ,2,1, ,1, , , ,1,1,1,2,0,1
2,3,5,2,1,31,2,2,96,97,2011,2,18,97,6,13,3,2,2,1, , ,1, ,1, , , ,1,1,1,3,0,3
2,4,5,11,4,42,2,2,96,97,2012,2,17,97,1, ,4,3,2,1, , ,1, ,1, , , ,1,1,1,3,0,2
2,5,5,11,4,25,2,2,96,97,2012,2,18,97,6,13,2,1,2,1, ,2,1, ,1, , , ,1,1,1,2,0,1
2,1,4,1,1,36,1,2,96,97,2014, ,13,5,8,5,2,1,1,1, ,1,2,2,1, , , ,1,1,2,3,0,1
2,2,4,2,1,37,2,2,96,97,2014,2,7,2,4,6,3,3,1,1, ,1,1, ,1, , , ,2,2,2,3,0,3
2,3,4,4,4,6,1,14,96,97,2014,2, , , , , , , , , , , , , , , , , , ,2,1, , 
2,4,4,4,4,1,2,24,96,97, ,1, , , , , , , , , , , , , , , , , , ,2,1, , 
2,1,5,1,1,46,1,9,9,97,2011, ,11,5,5,7,4,3,1,2,2,5,1, ,2,1, , ,1,1,1,4, ,1
2,2,5,2,1,39,2,9,9,97,2011,2,12,5,4,10,3,2,2,2,2, ,1, ,2,2,8,1,1,1,1,3,999,3
2,3,5,4,4,16,1,9,9,97,2011,2,4,2,6,13,4,1,1,2,2, ,1, ,2,2,1,2,1,1,1,1,1,3
